epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.9758,1.8907,2.94272,1.78553,0.45669,0.56976,0.48079,0.21437,2.01272,7.46188,2.0004,0.00019697,0.00019697,0.0805
2,139.998,1.57464,0.9831,1.50827,0.83869,0.75392,0.824,0.33785,1.98772,1.29635,1.93343,0.000396927,0.000396927,0.0607
3,207.899,1.56059,0.98205,1.50593,0.81877,0.74697,0.81796,0.39046,1.7932,1.18073,1.79963,0.00059671,0.00059671,0.0408997
4,275.783,1.54778,0.96931,1.48142,0.89938,0.87223,0.9177,0.48838,1.61443,0.8873,1.72041,0.000796191,0.000796191,0.0210992
5,343.876,1.54047,0.95445,1.49175,0.88512,0.85049,0.88581,0.4055,1.89805,1.22959,1.93179,0.000995239,0.000995239,0.00129827
6,411.757,1.52308,0.9435,1.47279,0.84803,0.8213,0.87486,0.43801,1.68072,1.05334,1.7528,0.000997288,0.000997288,0.000997288
7,479.504,1.51307,0.92305,1.47564,0.91529,0.87742,0.91501,0.47837,1.5937,0.87098,1.67251,0.000996097,0.000996097,0.000996097
8,547.338,1.48563,0.88131,1.45676,0.90345,0.86311,0.88496,0.3855,2.05466,0.97589,2.04817,0.00099469,0.00099469,0.00099469
9,614.968,1.47198,0.84846,1.43184,0.92765,0.90684,0.94701,0.51047,1.56046,0.73565,1.59154,0.000993068,0.000993068,0.000993068
10,683.253,1.45347,0.85164,1.43199,0.90402,0.9007,0.94081,0.47104,1.71176,0.76598,1.76328,0.000991232,0.000991232,0.000991232
11,750.876,1.43244,0.83653,1.42298,0.91034,0.89293,0.93364,0.48294,1.6208,0.79197,1.64151,0.000989183,0.000989183,0.000989183
12,819.18,1.41801,0.81967,1.41153,0.91969,0.90367,0.93717,0.4633,1.70273,0.76657,1.6998,0.000986922,0.000986922,0.000986922
13,886.747,1.41143,0.81322,1.41209,0.92839,0.90021,0.94819,0.51298,1.54726,0.71087,1.59155,0.000984449,0.000984449,0.000984449
14,954.443,1.40046,0.79744,1.40928,0.93569,0.91338,0.9478,0.51856,1.4873,0.66229,1.56622,0.000981765,0.000981765,0.000981765
15,1022.22,1.38885,0.78227,1.39065,0.93703,0.92916,0.9581,0.52554,1.50324,0.67709,1.56702,0.000978873,0.000978873,0.000978873
16,1090.07,1.38937,0.78509,1.3882,0.94541,0.92907,0.96233,0.53641,1.47668,0.66565,1.54336,0.000975773,0.000975773,0.000975773
17,1157.89,1.37825,0.7951,1.39053,0.91681,0.91639,0.95076,0.50542,1.59566,0.7188,1.6269,0.000972466,0.000972466,0.000972466
18,1225.52,1.3663,0.76547,1.37863,0.93893,0.92587,0.96058,0.53821,1.48011,0.67006,1.52815,0.000968955,0.000968955,0.000968955
19,1293.3,1.36096,0.76594,1.37833,0.93114,0.92449,0.9612,0.53156,1.4604,0.69715,1.51984,0.000965239,0.000965239,0.000965239
20,1360.83,1.35219,0.75686,1.37038,0.93923,0.93441,0.96093,0.53667,1.48817,0.63769,1.53703,0.000961322,0.000961322,0.000961322
21,1428.39,1.35149,0.7563,1.37045,0.94066,0.92968,0.95956,0.5293,1.5037,0.65814,1.58309,0.000957205,0.000957205,0.000957205
22,1496.79,1.33896,0.74867,1.36161,0.94248,0.92963,0.95708,0.53458,1.49306,0.62103,1.55194,0.000952889,0.000952889,0.000952889
